[2025-08-05 15:27:51] absolute axis event at 1754396871.357428, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.387327, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.387327, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.417416, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.417416, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.447458, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.447458, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.477321, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.507435, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.537447, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.567272, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.567272, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.597386, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.597386, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.627287, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.627287, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.657393, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.657393, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.687379, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.717250, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.747495, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.777261, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.777261, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.807347, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.807347, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.837247, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.837247, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.867360, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.867360, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.897374, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.897374, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.927317, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.927317, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.957343, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.957343, ABS_RZ 
[2025-08-05 15:27:51] absolute axis event at 1754396871.987341, ABS_Z 
[2025-08-05 15:27:51] absolute axis event at 1754396871.987341, ABS_RZ 
[2025-08-05 15:27:52] absolute axis event at 1754396872.017350, ABS_Z 
[2025-08-05 15:27:52] absolute axis event at 1754396872.017350, ABS_RZ 
[2025-08-05 15:27:52] absolute axis event at 1754396872.047342, ABS_RZ 
[2025-08-05 15:27:52] absolute axis event at 1754396872.077332, ABS_Z 
[2025-08-05 15:27:52] absolute axis event at 1754396872.077332, ABS_RZ 
[2025-08-05 15:27:52] absolute axis event at 1754396872.092345, ABS_HAT0X 
[2025-08-05 15:27:52] absolute axis event at 1754396872.182281, ABS_RZ 
[2025-08-05 15:27:52] absolute axis event at 1754396872.257569, ABS_HAT0X 
[2025-08-05 15:27:52] absolute axis event at 1754396872.692041, ABS_HAT0X 
[2025-08-05 15:27:52] absolute axis event at 1754396872.887086, ABS_HAT0X 
[2025-08-05 15:27:53] absolute axis event at 1754396873.202340, ABS_HAT0Y 
[2025-08-05 15:27:53] absolute axis event at 1754396873.336967, ABS_HAT0Y 
[2025-08-05 15:27:53] absolute axis event at 1754396873.712212, ABS_HAT0Y 
[2025-08-05 15:27:53] absolute axis event at 1754396873.891859, ABS_HAT0Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.206752, ABS_HAT0X 
[2025-08-05 15:27:54] absolute axis event at 1754396874.356980, ABS_HAT0X 
[2025-08-05 15:27:54] absolute axis event at 1754396874.596891, ABS_Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.627189, ABS_Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.656888, ABS_Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.716913, ABS_X 
[2025-08-05 15:27:54] absolute axis event at 1754396874.746775, ABS_X 
[2025-08-05 15:27:54] absolute axis event at 1754396874.746775, ABS_Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.777047, ABS_X 
[2025-08-05 15:27:54] absolute axis event at 1754396874.777047, ABS_Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.806993, ABS_X 
[2025-08-05 15:27:54] absolute axis event at 1754396874.806993, ABS_Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.836881, ABS_X 
[2025-08-05 15:27:54] absolute axis event at 1754396874.836881, ABS_Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.866951, ABS_Y 
[2025-08-05 15:27:54] absolute axis event at 1754396874.911785, ABS_X 
[2025-08-05 15:27:55] absolute axis event at 1754396875.091715, ABS_Y 
[2025-08-05 15:27:56] key event at 1754396876.726803, 307 (['BTN_NORTH', 'BTN_X']), down
[2025-08-05 15:27:56] key event at 1754396876.951442, 307 (['BTN_NORTH', 'BTN_X']), up
[2025-08-05 15:27:58] key event at 1754396878.106549, 304 (['BTN_A', 'BTN_GAMEPAD', 'BTN_SOUTH']), down
[2025-08-05 15:27:58] key event at 1754396878.286206, 304 (['BTN_A', 'BTN_GAMEPAD', 'BTN_SOUTH']), up
[2025-08-05 15:27:58] key event at 1754396878.751518, 305 (['BTN_B', 'BTN_EAST']), down
[2025-08-05 15:27:58] key event at 1754396878.931422, 305 (['BTN_B', 'BTN_EAST']), up
[2025-08-05 15:27:59] key event at 1754396879.185970, 308 (['BTN_WEST', 'BTN_Y']), down
[2025-08-05 15:27:59] absolute axis event at 1754396879.366247, ABS_Y 
[2025-08-05 15:27:59] key event at 1754396879.381207, 308 (['BTN_WEST', 'BTN_Y']), up
[2025-08-05 15:27:59] absolute axis event at 1754396879.486029, ABS_Y 
[2025-08-05 15:27:59] key event at 1754396879.681022, 304 (['BTN_A', 'BTN_GAMEPAD', 'BTN_SOUTH']), down
[2025-08-05 15:27:59] key event at 1754396879.876345, 304 (['BTN_A', 'BTN_GAMEPAD', 'BTN_SOUTH']), up
[2025-08-05 15:28:00] key event at 1754396880.055899, 307 (['BTN_NORTH', 'BTN_X']), down
[2025-08-05 15:28:00] key event at 1754396880.205900, 307 (['BTN_NORTH', 'BTN_X']), up
[2025-08-05 15:28:00] key event at 1754396880.385924, 307 (['BTN_NORTH', 'BTN_X']), down
[2025-08-05 15:28:00] key event at 1754396880.535872, 307 (['BTN_NORTH', 'BTN_X']), up
[2025-08-05 15:34:19] absolute axis event at 1754397259.025811, ABS_Z 
[2025-08-05 15:34:19] absolute axis event at 1754397259.055476, ABS_Z 
[2025-08-05 15:34:19] absolute axis event at 1754397259.085414, ABS_Z 
[2025-08-05 15:34:19] absolute axis event at 1754397259.130144, ABS_RZ 
[2025-08-05 15:34:19] absolute axis event at 1754397259.175231, ABS_RZ 
[2025-08-05 15:34:20] absolute axis event at 1754397260.300309, ABS_RZ 
[2025-08-05 15:34:20] absolute axis event at 1754397260.345430, ABS_RZ 
[2025-08-05 15:34:20] absolute axis event at 1754397260.750447, ABS_Z 
[2025-08-05 15:34:20] absolute axis event at 1754397260.780712, ABS_Z 
[2025-08-05 15:34:21] absolute axis event at 1754397261.410646, ABS_Z 
[2025-08-05 15:34:21] absolute axis event at 1754397261.440726, ABS_Z 
[2025-08-05 15:34:21] absolute axis event at 1754397261.470680, ABS_Z 
[2025-08-05 15:34:21] absolute axis event at 1754397261.500848, ABS_Z 
[2025-08-05 15:34:21] absolute axis event at 1754397261.530776, ABS_Z 
[2025-08-05 15:34:21] absolute axis event at 1754397261.545944, ABS_Z 
[2025-08-05 15:34:21] absolute axis event at 1754397261.575865, ABS_Z 
[2025-08-05 15:34:21] absolute axis event at 1754397261.650641, ABS_Z 
[2025-08-05 15:34:22] absolute axis event at 1754397262.401218, ABS_Z 
[2025-08-05 15:34:22] absolute axis event at 1754397262.895963, ABS_GAS 
[2025-08-05 15:34:22] absolute axis event at 1754397262.926005, ABS_GAS 
[2025-08-05 15:34:22] absolute axis event at 1754397262.955935, ABS_GAS 
[2025-08-05 15:34:22] absolute axis event at 1754397262.986110, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.016032, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.045970, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.076044, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.106202, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.136053, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.166070, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.181174, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.225927, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.256061, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.286116, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.315921, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.346088, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.361188, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.526310, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.541235, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.571134, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.601170, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.631318, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.661172, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.691141, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.721159, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.751202, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.781186, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.811166, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.841192, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.871108, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.901205, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.931232, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.961211, ABS_GAS 
[2025-08-05 15:34:23] absolute axis event at 1754397263.991224, ABS_GAS 
[2025-08-05 15:34:24] absolute axis event at 1754397264.321058, ABS_GAS 
[2025-08-05 15:34:24] absolute axis event at 1754397264.351588, ABS_GAS 
[2025-08-05 15:34:24] absolute axis event at 1754397264.381248, ABS_GAS 
[2025-08-05 15:34:24] absolute axis event at 1754397264.411311, ABS_GAS 
[2025-08-05 15:34:24] absolute axis event at 1754397264.441279, ABS_GAS 
[2025-08-05 15:34:24] absolute axis event at 1754397264.471402, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.056425, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.086249, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.116395, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.146427, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.176460, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.206355, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.236418, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.266379, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.296459, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.326506, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.356355, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.386554, ABS_GAS 
[2025-08-05 15:34:25] absolute axis event at 1754397265.416500, ABS_GAS 
[2025-08-05 15:34:34] absolute axis event at 1754397274.598393, ABS_BRAKE 
[2025-08-05 15:34:34] absolute axis event at 1754397274.628042, ABS_BRAKE 
[2025-08-05 15:34:34] absolute axis event at 1754397274.657991, ABS_BRAKE 
[2025-08-05 15:34:34] absolute axis event at 1754397274.748233, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.618058, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.648159, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.678385, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.708163, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.738365, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.768370, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.798442, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.828299, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.858200, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.888305, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.918271, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.948375, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.978493, ABS_BRAKE 
[2025-08-05 15:34:35] absolute axis event at 1754397275.978493, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.008452, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.008452, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.038400, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.038400, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.068359, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.068359, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.098344, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.098344, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.128348, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.128348, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.158311, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.158311, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.188380, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.188380, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.218329, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.218329, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.248364, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.248364, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.278424, ABS_BRAKE 
[2025-08-05 15:34:36] absolute axis event at 1754397276.278424, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.308297, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.338426, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.368426, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.398301, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.428414, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.443438, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.518335, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.563352, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.593342, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.623429, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.653351, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.683442, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.713350, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.743352, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.773482, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.803384, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.833459, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.863476, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.893441, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.923503, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.953527, ABS_GAS 
[2025-08-05 15:34:36] absolute axis event at 1754397276.983505, ABS_GAS 
[2025-08-05 15:34:37] absolute axis event at 1754397277.013514, ABS_GAS 
[2025-08-05 15:34:37] absolute axis event at 1754397277.028489, ABS_GAS 
[2025-08-05 15:34:37] absolute axis event at 1754397277.058505, ABS_GAS 
[2025-08-05 15:34:37] absolute axis event at 1754397277.163385, ABS_GAS 
