[2025-08-01 14:05:49] absolute axis event at 1754046349.720355, ABS_HAT0Y
[2025-08-01 14:05:49] absolute axis event at 1754046349.825266, ABS_HAT0Y
[2025-08-01 14:05:50] absolute axis event at 1754046350.515274, ABS_HAT0Y
[2025-08-01 14:05:50] absolute axis event at 1754046350.710174, ABS_HAT0Y
[2025-08-01 14:05:51] absolute axis event at 1754046351.175177, ABS_HAT0Y
[2025-08-01 14:05:52] absolute axis event at 1754046352.165105, ABS_HAT0Y
[2025-08-01 14:05:52] absolute axis event at 1754046352.615282, ABS_HAT0Y
[2025-08-01 14:05:52] absolute axis event at 1754046352.795107, ABS_HAT0Y
[2025-08-01 14:05:53] absolute axis event at 1754046353.289773, ABS_HAT0Y
[2025-08-01 14:05:53] absolute axis event at 1754046353.454905, ABS_HAT0Y
[2025-08-01 14:05:56] absolute axis event at 1754046356.364725, ABS_HAT0Y
[2025-08-01 14:05:56] absolute axis event at 1754046356.514711, ABS_HAT0Y
[2025-08-01 14:05:57] absolute axis event at 1754046357.489474, ABS_HAT0Y
[2025-08-01 14:05:57] absolute axis event at 1754046357.639558, ABS_HAT0Y
[2025-08-01 14:06:02] absolute axis event at 1754046362.874089, ABS_Y
[2025-08-01 14:06:02] absolute axis event at 1754046362.904175, ABS_Y
[2025-08-01 14:06:02] absolute axis event at 1754046362.934090, ABS_X
[2025-08-01 14:06:02] absolute axis event at 1754046362.934090, ABS_Y
[2025-08-01 14:06:02] absolute axis event at 1754046362.964770, ABS_Y
[2025-08-01 14:06:02] absolute axis event at 1754046362.994277, ABS_X
[2025-08-01 14:06:02] absolute axis event at 1754046362.994277, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.024014, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.054875, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.084011, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.114685, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.144254, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.144254, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.174015, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.174015, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.204041, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.204041, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.233991, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.233991, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.264352, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.264352, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.294223, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.294223, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.323866, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.323866, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.353992, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.353992, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.383984, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.383984, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.399419, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.428915, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.458938, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.489085, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.489085, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.518877, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.518877, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.548971, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.578907, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.608979, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.638813, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.668873, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.668873, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.698866, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.698866, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.728889, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.728889, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.758858, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.758858, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.788858, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.788858, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.818876, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.818876, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.848870, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.848870, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.878840, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.878840, ABS_Y
[2025-08-01 14:06:03] absolute axis event at 1754046363.908860, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.923918, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.953878, ABS_X
[2025-08-01 14:06:03] absolute axis event at 1754046363.983919, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.058774, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.223777, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.253841, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.283961, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.314556, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.314556, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.344118, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.344118, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.373895, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.373895, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.404244, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.404244, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.433880, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.433880, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.464584, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.464584, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.494081, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.494081, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.523830, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.523830, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.553856, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.553856, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.583856, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.583856, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.628677, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.628677, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.644051, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.673831, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.689077, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.718752, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.748757, ABS_Y
[2025-08-01 14:06:04] absolute axis event at 1754046364.778746, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.853823, ABS_X
[2025-08-01 14:06:04] absolute axis event at 1754046364.898726, ABS_Y
[2025-08-01 14:06:05] absolute axis event at 1754046365.888599, ABS_X
[2025-08-01 14:06:05] absolute axis event at 1754046365.918705, ABS_X
[2025-08-01 14:06:05] absolute axis event at 1754046365.918705, ABS_Y
[2025-08-01 14:06:05] absolute axis event at 1754046365.948708, ABS_X
[2025-08-01 14:06:05] absolute axis event at 1754046365.948708, ABS_Y
[2025-08-01 14:06:05] absolute axis event at 1754046365.978802, ABS_X
[2025-08-01 14:06:05] absolute axis event at 1754046365.978802, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.008689, ABS_X
[2025-08-01 14:06:06] absolute axis event at 1754046366.008689, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.038626, ABS_X
[2025-08-01 14:06:06] absolute axis event at 1754046366.038626, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.068903, ABS_X
[2025-08-01 14:06:06] absolute axis event at 1754046366.068903, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.098642, ABS_X
[2025-08-01 14:06:06] absolute axis event at 1754046366.098642, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.128622, ABS_X
[2025-08-01 14:06:06] absolute axis event at 1754046366.128622, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.158617, ABS_X
[2025-08-01 14:06:06] absolute axis event at 1754046366.158617, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.188581, ABS_X
[2025-08-01 14:06:06] absolute axis event at 1754046366.188581, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.293852, ABS_Y
[2025-08-01 14:06:06] absolute axis event at 1754046366.428574, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.164276, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.193805, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.223648, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.223648, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.253557, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.253557, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.283602, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.283602, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.314277, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.314277, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.343879, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.343879, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.373601, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.403526, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.403526, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.433522, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.433522, ABS_Y
[2025-08-01 14:06:07] absolute axis event at 1754046367.464566, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.493786, ABS_X
[2025-08-01 14:06:07] absolute axis event at 1754046367.523572, ABS_X
